,co,o3,nh3,pm10,no,pm2_5,so2,no2,aqi
0,1789.09,107.29,11.15,414.34,3.69,383.62,6.5,15.25,5
1,807.76,158.79,0.33,223.34,0.56,211.23,23.13,4.58,5
2,627.52,157.36,0.21,173.31,0.4,164.04,20.5,3.43,5
3,607.49,160.22,0.55,166.08,0.35,157.2,18.6,3.47,5
4,640.87,147.34,2.15,180.02,0.53,169.79,15.74,6.0,5
5,720.98,127.32,7.28,197.33,0.64,184.21,14.42,12.0,5
6,814.44,114.44,14.19,207.06,0.18,191.06,15.97,20.39,5
7,934.6,104.43,21.03,221.96,0.0,202.84,19.07,27.08,5
8,1041.41,92.98,26.35,239.67,0.0,216.6,21.22,30.5,5
9,1134.87,77.25,28.63,255.44,0.0,228.66,20.5,31.87,5
10,1255.04,60.08,28.88,275.82,0.0,246.72,18.12,33.24,5
11,1361.85,45.78,27.11,295.15,0.0,264.66,15.14,34.27,5
12,1388.55,36.84,22.29,303.91,0.0,274.6,11.44,33.59,5
13,1361.85,32.19,17.23,305.83,0.0,279.33,8.35,30.85,5
14,1335.14,30.76,15.71,306.98,0.0,282.37,7.57,28.45,5
15,1295.09,32.9,18.49,306.27,0.0,282.87,8.35,26.05,5
16,1255.04,36.12,21.53,303.6,0.0,280.47,9.18,23.65,5
17,1241.68,38.62,21.79,308.45,0.0,285.39,8.94,21.94,5
18,1255.04,39.7,21.53,318.39,0.0,294.69,8.35,21.42,5
19,1281.74,37.91,18.49,326.36,0.0,300.17,7.27,21.94,5
20,1375.2,29.68,12.41,331.67,0.27,302.49,6.74,24.68,5
21,1535.42,30.04,8.49,339.36,3.13,308.78,7.87,25.36,5
22,1642.23,47.21,6.78,341.28,5.76,311.59,11.44,23.99,5
23,1735.69,69.38,9.25,353.1,6.15,323.42,13.35,23.31,5
24,1762.39,105.86,11.91,373.27,4.41,343.84,14.66,21.59,5
25,921.25,153.07,0.41,254.16,2.4,239.67,63.9,16.28,5
26,734.33,157.36,0.48,210.84,1.87,199.27,61.99,13.71,5
27,660.9,164.51,0.71,197.79,1.2,187.17,51.98,11.14,5
28,687.6,143.05,3.14,210.26,1.09,198.31,37.67,12.34,5
29,781.06,113.01,9.75,223.73,0.98,208.74,27.66,18.85,5
30,881.2,92.98,17.23,230.96,0.23,213.02,25.75,28.79,5
31,974.66,77.25,22.8,238.73,0.0,217.36,24.56,36.33,5
32,1068.12,64.37,25.59,251.08,0.0,225.58,22.17,39.76,5
33,1161.58,56.51,26.85,267.24,0.0,237.1,20.03,39.41,5
34,1241.68,50.78,25.33,283.41,0.0,249.08,17.17,38.04,5
35,1321.79,45.06,20.77,299.55,0.0,261.93,13.83,35.99,5
36,1401.9,39.34,15.07,314.0,0.0,275.4,10.61,33.93,5
37,1455.31,33.98,11.4,321.76,0.0,284.96,7.87,31.53,5
38,1495.36,29.68,11.15,328.5,0.0,293.05,6.74,29.47,5
39,1522.06,26.82,11.78,333.0,0.0,298.91,6.14,27.42,5
40,1482.01,25.75,12.41,327.14,0.0,295.8,5.48,23.99,5
41,1388.55,24.68,12.41,317.35,0.01,289.03,4.71,20.74,5
42,1335.14,22.53,12.54,309.85,0.02,284.3,4.29,18.85,5
43,1308.44,18.42,11.65,307.31,0.08,283.14,4.23,18.85,5
44,1375.2,10.64,9.25,312.32,0.49,287.22,4.59,21.25,5
45,1455.31,7.69,7.28,318.26,3.47,291.77,4.59,21.08,5
46,1535.42,14.84,6.21,326.06,8.05,298.87,4.77,17.48,5
47,1615.52,25.03,7.09,334.96,9.05,306.82,5.25,16.97,5
48,1655.58,47.92,8.87,351.41,6.59,322.75,5.66,18.34,5
49,974.66,155.93,3.71,261.38,0.51,249.48,12.64,5.06,5
50,814.44,165.94,3.83,215.45,0.25,206.2,11.09,2.96,5
51,794.41,167.37,4.31,200.9,0.2,192.24,10.13,2.83,5
52,841.14,141.62,7.73,203.72,0.4,193.31,8.82,6.43,5
53,921.25,113.01,13.55,216.65,0.45,202.62,8.46,13.37,5
54,988.01,100.14,20.27,225.02,0.11,207.45,9.54,21.76,5
55,1068.12,89.41,26.35,233.41,0.0,212.5,10.97,28.45,5
56,1121.52,75.1,27.36,244.07,0.0,219.57,11.09,31.53,5
57,1148.22,59.37,22.29,249.42,0.0,222.51,9.3,30.85,5
58,1161.58,45.78,13.55,251.94,0.0,224.01,6.44,27.76,5
59,1174.93,36.84,10.13,252.67,0.0,224.43,4.95,25.36,5
60,1174.93,30.76,7.85,250.06,0.01,223.37,3.61,23.31,5
61,1148.22,27.54,6.33,245.08,0.01,221.56,2.5,21.08,5
62,1148.22,25.03,5.7,246.3,0.01,224.6,2.15,18.85,5
63,1174.93,22.89,5.32,251.89,0.01,231.35,2.03,17.48,5
64,1214.98,20.39,5.32,264.91,0.02,244.61,2.03,16.45,5
65,1255.04,18.06,6.21,280.73,0.03,259.95,2.24,16.11,5
66,1295.09,15.74,7.73,296.18,0.06,274.92,2.65,16.45,5
67,1348.5,11.8,8.99,315.12,0.21,292.46,3.55,18.17,5
68,1441.96,6.62,8.23,334.22,1.38,308.79,4.47,20.05,5
69,1522.06,9.39,7.03,348.81,6.31,321.09,4.71,16.79,5
70,1588.82,17.17,6.65,355.79,9.61,326.69,5.07,14.74,5
